"scientificName","EOO"
"Blastocerus dichotomus",434760.082065581
"Cerdocyon thous",8433351.95788828
"Dasypus novemcinctus",18207313.6726554
"Hydrochoerus hydrochaeris",13395889.2339568
"Leopardus geoffroyi",3529650.05740972
"Myrmecophaga tridactyla",12011639.6789276
"Ozotoceros bezoarticus",468419.421741451
"Pecari tajacu",15365504.4471759
"Sus scrofa",28026386.3756979
"Cuniculus paca",13436656.9605753
"Dasyprocta azarae",1667306.94733421
"Didelphis aurita",1446051.0474862
"Leopardus pardalis",14546411.352254
"Mazama americana",10958435.2280754
"Mazama nana",117800.769990239
"Nasua nasua",10629424.4417804
"Panthera onca",9025908.69077607
"Procyon cancrivorus",12754113.7618216
"Puma concolor",21145719.5192423
"Sylvilagus brasiliensis",7611.78252940705
"Tapirus terrestris",8044527.20319738
"Didelphis albiventris",6795565.81610192
"Eira barbara",13375343.9866396
"Leopardus guttulus",2146517.13239568
"Leopardus wiedii",12288755.8103235
"Mazama gouazoubira",5746702.26398118
"Metachirus nudicaudatus",10341442.398698
"Procyon lotor",11684834.8565958
"Herpailurus yagouaroundi",14850896.6117516
"Sapajus nigritus",879806.095716234
"Tamandua tetradactyla",12732832.0248615
"Tayassu pecari",8336791.19136539
"Cavia aperea",6132281.51374386
"Chrysocyon brachyurus",4335925.95641987
"Conepatus chinga",5075055.13831319
"Lepus europaeus",14444573.9506872
"Lycalopex gymnocercus",2776265.54124728
"Macropus giganteus",2231237.80267915
"Macropus rufogriseus",652547.910254819
"Oryctolagus cuniculus",634229.133009514
"Perameles nasuta",411183.13596067
"Rattus fuscipes",486689.525975377
"Sminthopsis leucopus",96976.2979527513
"Tachyglossus aculeatus",7766679.88631148
"Trichosurus cunninghami",119403.44715737
"Trichosurus vulpecula",2704232.99318748
"Vombatus ursinus",310428.619897115
"Vulpes vulpes",72402469.1816831
"Wallabia bicolor",1212921.51528915
"Antechinus agilis",163654.965279269
"Potorous tridactylus",125038.53877332
"Pseudocheirus peregrinus",916198.631412862
"Antechinus minimus",76275.7085952654
"Antechinus swainsonii",314283.026686161
"Pseudomys novaehollandiae",89948.949409806
"Rattus lutreolus",260763.050517636
"Dasycercus blythi",1471984.40128152
"Macrotis lagotis",1079998.51069438
"Notomys alexis",2927774.01333266
"Aepyceros melampus",3362536.01533188
"Canis adustus",10714383.0532577
"Canis mesomelas",6453409.89459804
"Caracal caracal",17205653.1997636
"Chlorocebus pygerythrus",4654331.42760554
"Crocuta crocuta",14474886.6142361
"Damaliscus lunatus",1840650.42073614
"Felis silvestris",29179625.7731067
"Herpestes sanguineus",16793634.0370183
"Genetta genetta",14776812.0874116
"Helogale parvula",6918503.91447851
"Hippopotamus amphibius",1233077.10688084
"Hippotragus equinus",5571099.89056536
"Hystrix africaeaustralis",7623760.02280832
"Ichneumia albicauda",14289624.1798788
"Ictonyx striatus",15345019.3860795
"Leptailurus serval",12662525.975959
"Loxodonta africana",2110511.63154735
"Lycaon pictus",1257222.42768685
"Mellivora capensis",29722162.1575319
"Mungos mungo",10331332.0047799
"Orycteropus afer",19273002.4910421
"Oryx gazella",1766027.32378784
"Otocyon megalotis",4957043.23813118
"Panthera leo",1690498.39575822
"Panthera pardus",8472007.40863111
"Paraxerus cepapi",2692246.21309766
"Phacochoerus africanus",9957729.53494041
"Proteles cristata",5997315.14799274
"Raphicerus campestris",4047877.07291665
"Sylvicapra grimmia",13576010.7750763
"Syncerus caffer",8443088.90622182
"Tragelaphus strepsiceros",6084589.44477207
"Vulpes chama",2126479.34143355
"Dasyprocta fuliginosa",2612229.72989796
"Didelphis marsupialis",9324398.92739069
"Canis lupus",55644446.877685
"Conepatus semistriatus",2021448.58300142
"Dasyprocta prymnolopha",1929753.31277529
"Sapajus libidinosus",2612578.68735936
"Dasypus septemcinctus",5799179.60129735
"Lycalopex vetulus",1782057.27822074
"Sciurus aestuans",6940395.07114588
"Dasyprocta iacki",46348.4266101032
"Sapajus flavius",38931.4359768423
"Dasyprocta leporina",4557304.86927024
"Leopardus tigrinus",9389963.33587727
"Philander frenatus",921860.966071918
"Galea spixii",1699340.10273382
"Kerodon rupestris",708728.576430491
"Alces alces",23096272.6296082
"Canis latrans",14921849.1822137
"Castor canadensis",15707994.7833554
"Erethizon dorsatum",12063228.0631265
"Glaucomys sabrinus",7852908.62582776
"Lepus americanus",9597254.58930295
"Lepus townsendii",3453856.92186348
"Mephitis mephitis",12271610.6653309
"Odocoileus hemionus",6340068.20450533
"Odocoileus virginianus",14410637.3957417
"Neotamias minimus",5243481.99343917
"Tamiasciurus hudsonicus",10363663.5192286
"Martes pennanti",3721001.42562775
"Ursus americanus",10469239.3753824
"Martes americana",7637867.16924825
"Didelphis virginiana",6033229.97774911
"Sciurus carolinensis",4083873.20339134
"Sylvilagus floridanus",6880226.51432894
"Tamias striatus",4197616.71135692
"Civettictis civetta",15260382.4849394
"Dendrohyrax arboreus",2446114.61474486
"Hylochoerus meinertzhageni",2147898.92093268
"Hystrix cristata",4336927.2188134
"Papio anubis",7826934.9196583
"Potamochoerus porcus",4799557.04779161
"Tragelaphus scriptus",12064054.4593804
"Dasyprocta punctata",1306837.66922308
"Nasua narica",2698807.1638998
"Sciurus deppei",694996.560906275
"Urocyon cinereoargenteus",9037640.20911398
"Tapirus bairdii",285332.807778319
"Canis aureus",10746781.9127633
"Felis chaus",7003357.01805868
"Lepus nigricollis",3430852.14286015
"Vulpes bengalensis",3129366.44937544
"Tapirus indicus",89491.8773974396
"Arctictis binturong",2942897.75042023
"Capricornis sumatraensis",135078.306336696
"Catopuma temminckii",337441.822064409
"Cuon alpinus",3444014.5136307
"Helarctos malayanus",1112920.85091146
"Hemigalus derbyanus",1354858.33482245
