"species","hyp.ref","prob"
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0.169136648812738
"Acinonyx jubatus","Nocturnal",0.0189546084089635
"Acinonyx jubatus","Nocturnal",0.696242014938258
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0.0285260960311456
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0.0170828389387091
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0.314654734869108
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0.330090155127065
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0.019691045366198
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0.938666605328905
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0.0375888624747
"Aepyceros melampus","Cathemeral",0.0721769052540087
"Aepyceros melampus","Cathemeral",0.284063511383494
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",0.0252695701431502
"Aepyceros melampus","Cathemeral",0.148941251950357
"Aepyceros melampus","Cathemeral",0.032636114380742
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",0.906276349454884
"Aepyceros melampus","Cathemeral",0.990460821405455
"Aepyceros melampus","Cathemeral",0.865896021803209
"Aepyceros melampus","Cathemeral",0.271713471540876
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.882395478576237
"Aepyceros melampus","Cathemeral",0.305345017256862
"Aepyceros melampus","Cathemeral",0.872836754186486
"Aepyceros melampus","Cathemeral",0.101337131151259
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.94967193032024
"Aepyceros melampus","Cathemeral",0.000948927792165504
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.27904208263587
"Aepyceros melampus","Cathemeral",0.970924913519505
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",4.14016374676202e-05
"Aepyceros melampus","Cathemeral",0.99640267398731
"Aepyceros melampus","Cathemeral",0.99986359358005
"Aepyceros melampus","Cathemeral",0.980494317461336
"Aepyceros melampus","Cathemeral",0.990798510972394
"Aepyceros melampus","Cathemeral",0.0975006963470472
"Aepyceros melampus","Cathemeral",0.999942899889087
"Aepyceros melampus","Cathemeral",0.793101395095712
"Aepyceros melampus","Cathemeral",0.57098607461358
"Aepyceros melampus","Cathemeral",0.98773354703355
"Aepyceros melampus","Cathemeral",0.0315730128882864
"Aepyceros melampus","Cathemeral",0.999947364709541
"Aepyceros melampus","Cathemeral",0.719167882374895
"Aepyceros melampus","Cathemeral",0.322894008803524
"Aepyceros melampus","Cathemeral",0.999913486997267
"Aepyceros melampus","Cathemeral",0.99951160591996
"Aepyceros melampus","Cathemeral",0.938625677231493
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.999650767232889
"Aepyceros melampus","Cathemeral",0.995605028717875
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.993003971792106
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.936993773475832
"Aepyceros melampus","Cathemeral",0.0749911447760417
"Aepyceros melampus","Cathemeral",0.572405536017137
"Aepyceros melampus","Cathemeral",0.537337030137903
"Aepyceros melampus","Cathemeral",0.313757820267543
"Aepyceros melampus","Cathemeral",0.316709344203634
"Aepyceros melampus","Cathemeral",0.873280572722429
"Aepyceros melampus","Cathemeral",0.999808634824632
"Aepyceros melampus","Cathemeral",0.881959503970993
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.990166619878329
"Aepyceros melampus","Cathemeral",0.442672816967246
"Aepyceros melampus","Cathemeral",0.269711692285736
"Aepyceros melampus","Cathemeral",0.450742968415488
"Aepyceros melampus","Cathemeral",0.896683288861394
"Aepyceros melampus","Cathemeral",0.812934675664661
"Aepyceros melampus","Cathemeral",0.848440045509016
"Aepyceros melampus","Cathemeral",0.981975641445421
"Aepyceros melampus","Cathemeral",0.534101031383574
"Aepyceros melampus","Cathemeral",0.986305923800383
"Aepyceros melampus","Cathemeral",0.0352634246541695
"Aepyceros melampus","Cathemeral",0.995528788280308
"Aepyceros melampus","Cathemeral",0.562732007850027
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.000976986902260693
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.00419382330197245
"Aepyceros melampus","Cathemeral",0.974114292267688
"Aepyceros melampus","Cathemeral",0.999945631112412
"Aepyceros melampus","Cathemeral",0.13540733596043
"Aepyceros melampus","Cathemeral",0.99335497433668
"Aepyceros melampus","Cathemeral",0.999418706051178
"Aepyceros melampus","Cathemeral",0.410304273154712
"Aepyceros melampus","Cathemeral",0.999177733913924
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.976967884052416
"Aepyceros melampus","Cathemeral",0.637903227049014
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",0.000622555116989489
"Aepyceros melampus","Cathemeral",0.959609812829023
"Aepyceros melampus","Cathemeral",0.993185807863693
"Aepyceros melampus","Cathemeral",0.326296993689978
"Aepyceros melampus","Cathemeral",0.0787386300095111
"Aepyceros melampus","Cathemeral",0.13132293406234
"Aepyceros melampus","Cathemeral",0.998990920471116
"Aepyceros melampus","Cathemeral",0.897119849636598
"Aepyceros melampus","Cathemeral",0.980129504104587
"Aepyceros melampus","Cathemeral",0.0510958752277731
"Aepyceros melampus","Cathemeral",0.164677828631491
"Aepyceros melampus","Cathemeral",0.882045641980042
"Aepyceros melampus","Cathemeral",0.999918855929618
"Aepyceros melampus","Cathemeral",0.511855888818531
"Aepyceros melampus","Cathemeral",0.476895930554653
"Aepyceros melampus","Cathemeral",0.999483168107503
"Aepyceros melampus","Cathemeral",0.0417466839835641
"Aepyceros melampus","Cathemeral",0.164800124824822
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.0291069994865385
"Aepyceros melampus","Cathemeral",0.0664905339151408
"Aepyceros melampus","Cathemeral",0.996632400102128
"Aepyceros melampus","Cathemeral",0.480971273538309
"Aepyceros melampus","Cathemeral",0.995885796529036
"Aepyceros melampus","Cathemeral",0.999706043451237
"Aepyceros melampus","Cathemeral",0.939370196711763
"Aepyceros melampus","Cathemeral",0.919571664888456
"Aepyceros melampus","Cathemeral",0.152658412701484
"Aepyceros melampus","Cathemeral",0.997470047826867
"Aepyceros melampus","Cathemeral",0.000790157900746418
"Aepyceros melampus","Cathemeral",0.426239348217308
"Aepyceros melampus","Cathemeral",0.581668170201846
"Aepyceros melampus","Cathemeral",0.187785290173338
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.996972929093376
"Aepyceros melampus","Cathemeral",0.999095432558047
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.956571461736422
"Aepyceros melampus","Cathemeral",0.079891018758611
"Aepyceros melampus","Cathemeral",0.677135379257338
"Aepyceros melampus","Cathemeral",0.169130731027703
"Aepyceros melampus","Cathemeral",0.0741690088024902
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.0138231469040369
"Aepyceros melampus","Cathemeral",0.00747717164924218
"Aepyceros melampus","Cathemeral",0.576727223624799
"Alcelaphus buselaphus","Diurnal",0.91924678569635
"Alcelaphus buselaphus","Diurnal",0.0946301483156347
"Alcelaphus buselaphus","Diurnal",0.515952747603625
"Alcelaphus buselaphus","Diurnal",0.993572659578508
"Alcelaphus buselaphus","Diurnal",0.989077936841078
"Alcelaphus buselaphus","Diurnal",0.999663483324834
"Alcelaphus buselaphus","Diurnal",0.988975660143981
"Alcelaphus buselaphus","Diurnal",0.998332677616787
"Alcelaphus buselaphus","Diurnal",0.998963119237253
"Alcelaphus buselaphus","Diurnal",0.330896368152235
"Alcelaphus buselaphus","Diurnal",0.991556007955735
"Alcelaphus buselaphus","Diurnal",0.997925297421468
"Alcelaphus buselaphus","Diurnal",0.991893094259464
"Alcelaphus buselaphus","Diurnal",0.88064021548416
"Alcelaphus buselaphus","Diurnal",0.865075455568396
"Alcelaphus buselaphus","Diurnal",0.997418512435746
"Alcelaphus buselaphus","Diurnal",0.993202160378388
"Alcelaphus buselaphus","Diurnal",0.997566889169469
"Alcelaphus buselaphus","Diurnal",0.809553477405725
"Alcelaphus buselaphus","Diurnal",0.923342868875186
"Alcelaphus buselaphus","Diurnal",0.998320924727417
"Alcelaphus buselaphus","Diurnal",0.995332959057297
"Alcelaphus buselaphus","Diurnal",0.460223007950162
"Alces alces","Cathemeral",0.998833243882472
"Alces alces","Cathemeral",0.699866835524645
"Alces alces","Cathemeral",0.849638089211776
"Alces alces","Cathemeral",0.908798779989652
"Alces alces","Cathemeral",0.740082369369138
"Alces alces","Cathemeral",1
"Alces alces","Cathemeral",1
"Alces alces","Cathemeral",0.999973323651291
"Alces alces","Cathemeral",0.999049516148371
"Alces alces","Cathemeral",0.73900051354015
"Alces alces","Cathemeral",0.994105246545106
"Alces alces","Cathemeral",0.940970733852546
"Alces alces","Cathemeral",0.666490716082086
"Alces alces","Cathemeral",0.998121771729316
"Alces alces","Cathemeral",0.960290150584662
"Alces alces","Cathemeral",0.983342189421564
"Alces alces","Cathemeral",0.97376751475586
"Alces alces","Cathemeral",0.204075719098986
"Alces alces","Cathemeral",0.948842761999041
"Alces alces","Cathemeral",0.873520013292108
"Alces alces","Cathemeral",0.999382863349261
"Alces alces","Cathemeral",0.812320492123751
"Alces alces","Cathemeral",0.99923119686689
"Alces alces","Cathemeral",0.99640839237844
"Alces alces","Cathemeral",0.582572221111129
"Alces alces","Cathemeral",0.998471712917367
"Alces alces","Cathemeral",0.720836624046674
"Alces alces","Cathemeral",0.926415021171064
"Alces alces","Cathemeral",0.993522669013448
"Alces alces","Cathemeral",0.600475115295997
"Alces alces","Cathemeral",0.73568916346087
"Alces alces","Cathemeral",0.784324387338724
"Alces alces","Cathemeral",0.984366561673315
"Alces alces","Cathemeral",0.930663319735631
"Alces alces","Cathemeral",0.933041943243646
"Alces alces","Cathemeral",0.771977962411821
"Alces alces","Cathemeral",0.136165414818678
"Alces alces","Cathemeral",0.550660762300327
"Alces alces","Cathemeral",0.993270977246474
"Alces alces","Cathemeral",0.995232551274327
"Alces alces","Cathemeral",0.988113336873073
"Alces alces","Cathemeral",0.994888805313267
"Alces alces","Cathemeral",0.999885454576046
"Alces alces","Cathemeral",0.358613703683165
"Alces alces","Cathemeral",0.549963770574864
"Alces alces","Cathemeral",0.786475953354035
"Alces alces","Cathemeral",0.757029621519809
"Alces alces","Cathemeral",0.715215608119971
"Alces alces","Cathemeral",0.996558022940864
"Alces alces","Cathemeral",0.998916782407452
"Alces alces","Cathemeral",0.362837434748028
"Alces alces","Cathemeral",0.910961593383422
"Alces alces","Cathemeral",0.509107060318928
"Alces alces","Cathemeral",0.566580246841575
"Alces alces","Cathemeral",0.855839364737408
"Alces alces","Cathemeral",0.930841654286011
"Alces alces","Cathemeral",0.984794041254109
"Alces alces","Cathemeral",0.893383396444665
"Alces alces","Cathemeral",0.965065809424586
"Alces alces","Cathemeral",0.260047190455441
"Alces alces","Cathemeral",0.787964569515598
"Alces alces","Cathemeral",1
"Alces alces","Cathemeral",0.708149201692577
"Alces alces","Cathemeral",0.921453509353409
"Alces alces","Cathemeral",0.905552261252893
"Alces alces","Cathemeral",0.970641818357272
"Alces alces","Cathemeral",0.676821158004794
"Alces alces","Cathemeral",0.998694663767164
"Alces alces","Cathemeral",0.940237823473414
"Alces alces","Cathemeral",0.436451320041129
"Alces alces","Cathemeral",0.610524429797088
"Alces alces","Cathemeral",0.987701541448905
"Alces alces","Cathemeral",0.518734772450813
"Alces alces","Cathemeral",0.554209577845704
"Alces alces","Cathemeral",0.999246083738769
"Alces alces","Cathemeral",0.999861987492976
"Alces alces","Cathemeral",0.996111457904449
"Alces alces","Cathemeral",0.41098735149938
"Alces alces","Cathemeral",0.863509811249367
"Alces alces","Cathemeral",0.999973947215124
"Alces alces","Cathemeral",0.999011853612809
"Alces alces","Cathemeral",1
"Alces alces","Cathemeral",0.996377312302222
"Alces alces","Cathemeral",0.352921687896119
"Alces alces","Cathemeral",0.998796076795597
"Alces alces","Cathemeral",0.996456056463027
"Alces alces","Cathemeral",0.998828232341824
"Allochrocebus lhoesti","Diurnal",1
"Allochrocebus lhoesti","Diurnal",0.999999832671547
"Allochrocebus lhoesti","Diurnal",1
"Ammospermophilus harrisii","Diurnal",0.999985950261114
"Ammospermophilus harrisii","Diurnal",0.999666390204933
"Ammospermophilus harrisii","Diurnal",1
"Ammospermophilus harrisii","Diurnal",0.999809214500569
"Ammospermophilus harrisii","Diurnal",0.999965565787777
"Ammospermophilus harrisii","Diurnal",0.9999942835292
"Ammospermophilus harrisii","Diurnal",0.999968571547132
"Ammospermophilus harrisii","Diurnal",1
"Ammospermophilus harrisii","Diurnal",0.999583726937435
"Ammospermophilus harrisii","Diurnal",0.999999713256799
"Ammospermophilus harrisii","Diurnal",0.999497233404212
"Ammospermophilus harrisii","Diurnal",1
"Ammospermophilus harrisii","Diurnal",1
"Ammospermophilus harrisii","Diurnal",0.999999941819806
"Ammospermophilus harrisii","Diurnal",1
"Ammospermophilus harrisii","Diurnal",0.999997980659399
