"","dat.scientificName","ss"
"1","Acinonyx jubatus",37
"2","Acinonyx jubatus",20
"3","Acinonyx jubatus",14
"4","Acinonyx jubatus",17
"5","Acinonyx jubatus",10
"6","Acinonyx jubatus",25
"7","Acinonyx jubatus",13
"8","Acinonyx jubatus",40
"9","Acinonyx jubatus",53
"10","Acinonyx jubatus",17
"11","Acinonyx jubatus",30
"12","Acinonyx jubatus",19
"13","Acinonyx jubatus",25
"14","Acinonyx jubatus",32
"15","Acinonyx jubatus",28
"16","Acinonyx jubatus",24
"17","Acinonyx jubatus",19
"18","Acinonyx jubatus",44
"19","Acinonyx jubatus",20
"20","Acinonyx jubatus",28
"21","Acinonyx jubatus",47
"22","Acinonyx jubatus",28
"23","Acinonyx jubatus",16
"24","Acinonyx jubatus",16
"25","Acinonyx jubatus",24
"26","Acinonyx jubatus",55
"27","Acinonyx jubatus",25
"28","Acinonyx jubatus",29
"29","Acinonyx jubatus",23
"30","Acinonyx jubatus",14
"31","Acinonyx jubatus",45
"32","Acinonyx jubatus",17
"33","Aepyceros melampus",521
"34","Aepyceros melampus",131
"35","Aepyceros melampus",205
"36","Aepyceros melampus",391
"37","Aepyceros melampus",241
"38","Aepyceros melampus",140
"39","Aepyceros melampus",365
"40","Aepyceros melampus",150
"41","Aepyceros melampus",25
"42","Aepyceros melampus",273
"43","Aepyceros melampus",389
"44","Aepyceros melampus",40
"45","Aepyceros melampus",360
"46","Aepyceros melampus",240
"47","Aepyceros melampus",262
"48","Aepyceros melampus",137
"49","Aepyceros melampus",543
"50","Aepyceros melampus",292
"51","Aepyceros melampus",306
"52","Aepyceros melampus",502
"53","Aepyceros melampus",593
"54","Aepyceros melampus",279
"55","Aepyceros melampus",170
"56","Aepyceros melampus",370
"57","Aepyceros melampus",119
"58","Aepyceros melampus",170
"59","Aepyceros melampus",183
"60","Aepyceros melampus",26
"61","Aepyceros melampus",265
"62","Aepyceros melampus",344
"63","Aepyceros melampus",332
"64","Aepyceros melampus",211
"65","Aepyceros melampus",67
"66","Aepyceros melampus",24
"67","Aepyceros melampus",334
"68","Aepyceros melampus",146
"69","Aepyceros melampus",104
"70","Aepyceros melampus",44
"71","Aepyceros melampus",54
"72","Aepyceros melampus",332
"73","Aepyceros melampus",154
"74","Aepyceros melampus",47
"75","Aepyceros melampus",327
"76","Aepyceros melampus",421
"77","Aepyceros melampus",173
"78","Aepyceros melampus",271
"79","Aepyceros melampus",262
"80","Aepyceros melampus",283
"81","Aepyceros melampus",578
"82","Aepyceros melampus",278
"83","Aepyceros melampus",83
"84","Aepyceros melampus",130
"85","Aepyceros melampus",226
"86","Aepyceros melampus",329
"87","Aepyceros melampus",16
"88","Aepyceros melampus",21
"89","Aepyceros melampus",120
"90","Aepyceros melampus",108
"91","Aepyceros melampus",697
"92","Aepyceros melampus",12
"93","Aepyceros melampus",148
"94","Aepyceros melampus",238
"95","Aepyceros melampus",173
