"species","hyp.ref","prob"
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0.000831478901790238
"Acinonyx jubatus","Nocturnal",0.000429085959620808
"Acinonyx jubatus","Nocturnal",0.0171688479230633
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0.000372038971869548
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0.00011878505879834
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0.00282922554179546
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0.0048246342414178
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0.000795792796741613
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0.114532419981473
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0.00031343525477119
"Aepyceros melampus","Cathemeral",0.00110344649246793
"Aepyceros melampus","Cathemeral",0.00118156994322684
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",0.000164507528596971
"Aepyceros melampus","Cathemeral",0.00109658864659313
"Aepyceros melampus","Cathemeral",0.000266302647965544
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",0.0215453855033841
"Aepyceros melampus","Cathemeral",0.366374788739137
"Aepyceros melampus","Cathemeral",0.0445774608064354
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",0.272650053035663
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",6.45762621729036e-05
"Aepyceros melampus","Cathemeral",0.0143324234898104
"Aepyceros melampus","Cathemeral",0.000226704175219005
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",0.13342318753918
"Aepyceros melampus","Cathemeral",0.16358931142525
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",0.000621485192302389
"Aepyceros melampus","Cathemeral",0.00647527734204848
"Aepyceros melampus","Cathemeral",4.6137499606741e-05
"Aepyceros melampus","Cathemeral",0.0598786971808929
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",0.242867893992729
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",0.37338196726975
"Aepyceros melampus","Cathemeral",0.213509088137331
"Aepyceros melampus","Cathemeral",0.0262929534657884
"Aepyceros melampus","Cathemeral",0.0567441715427471
"Aepyceros melampus","Cathemeral",0.00189702456620987
"Aepyceros melampus","Cathemeral",0.961938784939781
"Aepyceros melampus","Cathemeral",0.0106756424386218
"Aepyceros melampus","Cathemeral",0.0306625525559558
"Aepyceros melampus","Cathemeral",0.00170201636378626
"Aepyceros melampus","Cathemeral",4.20366089312887e-05
"Aepyceros melampus","Cathemeral",0.55809153049727
"Aepyceros melampus","Cathemeral",0.0564044360247494
"Aepyceros melampus","Cathemeral",9.29975991835918e-05
"Aepyceros melampus","Cathemeral",0.942180320031408
"Aepyceros melampus","Cathemeral",0.035951160424163
"Aepyceros melampus","Cathemeral",0.0295449040338991
"Aepyceros melampus","Cathemeral",0.000280468716857818
"Aepyceros melampus","Cathemeral",0.154907607730369
"Aepyceros melampus","Cathemeral",0.0014351685085394
"Aepyceros melampus","Cathemeral",0.123445935922271
"Aepyceros melampus","Cathemeral",0.0933132515043409
"Aepyceros melampus","Cathemeral",9.64886560211801e-05
"Aepyceros melampus","Cathemeral",0.00905603685352377
"Aepyceros melampus","Cathemeral",0.00102800971382387
"Aepyceros melampus","Cathemeral",0.0280923233058916
"Aepyceros melampus","Cathemeral",0.00040376908477861
"Aepyceros melampus","Cathemeral",0.00660694063252926
"Aepyceros melampus","Cathemeral",0.00612998971135959
"Aepyceros melampus","Cathemeral",0.122515927405142
"Aepyceros melampus","Cathemeral",0.247083590173875
"Aepyceros melampus","Cathemeral",0.0766902580056014
"Aepyceros melampus","Cathemeral",0.00325661761256469
"Aepyceros melampus","Cathemeral",0.47868426805407
"Aepyceros melampus","Cathemeral",0.00139571141098832
"Aepyceros melampus","Cathemeral",0.00110425416526663
"Aepyceros melampus","Cathemeral",0.000119150512335077
"Aepyceros melampus","Cathemeral",1.38269039161042e-05
"Aepyceros melampus","Cathemeral",0.000236146009088607
"Aepyceros melampus","Cathemeral",0.0485680139246058
"Aepyceros melampus","Cathemeral",0.432644217189221
"Aepyceros melampus","Cathemeral",5.6225559911606e-05
"Aepyceros melampus","Cathemeral",0.0330069111487471
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",0.00345797867959831
"Aepyceros melampus","Cathemeral",4.21407850375965e-05
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",2.75194054154542e-06
"Aepyceros melampus","Cathemeral",0.00948338456167699
"Aepyceros melampus","Cathemeral",2.21880586254381e-05
"Aepyceros melampus","Cathemeral",0.0473626404926566
"Aepyceros melampus","Cathemeral",0.93782216946888
"Aepyceros melampus","Cathemeral",0.0016723613461653
"Aepyceros melampus","Cathemeral",0.0128616165811179
"Aepyceros melampus","Cathemeral",0.115809507043063
"Aepyceros melampus","Cathemeral",0.00307323156774872
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",0.00257062711375164
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",0.00358891934019704
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",2.85166071749131e-06
"Aepyceros melampus","Cathemeral",0.0129218685259686
"Aepyceros melampus","Cathemeral",0.00216575303436338
"Aepyceros melampus","Cathemeral",0.00728418519847892
"Aepyceros melampus","Cathemeral",8.61636453148718e-06
"Aepyceros melampus","Cathemeral",0.00209844606149681
"Aepyceros melampus","Cathemeral",0.0989316862630211
"Aepyceros melampus","Cathemeral",0.0035621331953023
"Aepyceros melampus","Cathemeral",0.0542842481688658
"Aepyceros melampus","Cathemeral",0.000296979845795168
"Aepyceros melampus","Cathemeral",3.47454118886007e-05
"Aepyceros melampus","Cathemeral",0.000683714435027678
"Aepyceros melampus","Cathemeral",0.291613763693531
"Aepyceros melampus","Cathemeral",0.000644305059861662
"Aepyceros melampus","Cathemeral",0.0133144148499402
"Aepyceros melampus","Cathemeral",0.00187403527855309
"Aepyceros melampus","Cathemeral",0.000187851115877388
"Aepyceros melampus","Cathemeral",2.95413195958927e-05
"Aepyceros melampus","Cathemeral",0.00397721561635476
"Aepyceros melampus","Cathemeral",5.31137601010879e-06
"Aepyceros melampus","Cathemeral",0.000650837994592603
"Aepyceros melampus","Cathemeral",0.00266285001351452
"Aepyceros melampus","Cathemeral",0.0145848153217417
"Aepyceros melampus","Cathemeral",0.00286054165881643
"Aepyceros melampus","Cathemeral",0.0658336509500322
"Aepyceros melampus","Cathemeral",0.0146733190693182
"Aepyceros melampus","Cathemeral",0.131419806700149
"Aepyceros melampus","Cathemeral",0.000154447062635389
"Aepyceros melampus","Cathemeral",0.0635946905778166
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",0.0133439260412089
"Aepyceros melampus","Cathemeral",0.0306866574055626
"Aepyceros melampus","Cathemeral",0.00282459820263321
"Aepyceros melampus","Cathemeral",0.144696564564101
"Aepyceros melampus","Cathemeral",0.146951881480354
"Aepyceros melampus","Cathemeral",0.200913043084376
"Aepyceros melampus","Cathemeral",0.0132690076739811
"Aepyceros melampus","Cathemeral",0.000237488182539002
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",1.33978336436677e-05
"Aepyceros melampus","Cathemeral",0.000274575185049725
"Aepyceros melampus","Cathemeral",0.000665499126347212
"Aepyceros melampus","Cathemeral",1.43216848497471e-05
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",0.348565808326404
"Aepyceros melampus","Cathemeral",2.3667435319619e-05
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",0.00544533465795125
"Alcelaphus buselaphus","Diurnal",0.109100556059446
"Alcelaphus buselaphus","Diurnal",0.00111722303797897
"Alcelaphus buselaphus","Diurnal",0.00596197674395794
"Alcelaphus buselaphus","Diurnal",0.57379525803162
"Alcelaphus buselaphus","Diurnal",0.472980090575688
"Alcelaphus buselaphus","Diurnal",0.952335402361105
"Alcelaphus buselaphus","Diurnal",0.354154536578517
"Alcelaphus buselaphus","Diurnal",0.805942413639899
"Alcelaphus buselaphus","Diurnal",0.860666084800521
"Alcelaphus buselaphus","Diurnal",0.00184792877255419
"Alcelaphus buselaphus","Diurnal",0.511935198082526
"Alcelaphus buselaphus","Diurnal",0.76222039899916
"Alcelaphus buselaphus","Diurnal",0.410236000585046
"Alcelaphus buselaphus","Diurnal",0.0448242006811694
"Alcelaphus buselaphus","Diurnal",0.0848298432285798
"Alcelaphus buselaphus","Diurnal",0.724020136446129
"Alcelaphus buselaphus","Diurnal",0.566743576040839
"Alcelaphus buselaphus","Diurnal",0.712627110299028
"Alcelaphus buselaphus","Diurnal",0.0295142693616176
"Alcelaphus buselaphus","Diurnal",0.119494054749472
"Alcelaphus buselaphus","Diurnal",0.819291078527399
"Alcelaphus buselaphus","Diurnal",0.553841367526871
"Alcelaphus buselaphus","Diurnal",0.00712426710231766
"Alces alces","Cathemeral",0.76679855929479
"Alces alces","Cathemeral",0.0478299072464443
"Alces alces","Cathemeral",0.0402945932448216
"Alces alces","Cathemeral",0.0979468534303042
"Alces alces","Cathemeral",0.035131107141093
"Alces alces","Cathemeral",0.919350603434788
"Alces alces","Cathemeral",0.407963078254511
"Alces alces","Cathemeral",0.941187072797625
"Alces alces","Cathemeral",0.0728399247974756
"Alces alces","Cathemeral",0.0611654185990349
"Alces alces","Cathemeral",0.605303679005058
"Alces alces","Cathemeral",0.0486642605193251
"Alces alces","Cathemeral",0.0206836667405258
"Alces alces","Cathemeral",0.568065981649242
"Alces alces","Cathemeral",0.178380702515341
"Alces alces","Cathemeral",0.314624440802648
"Alces alces","Cathemeral",0.411705588271319
"Alces alces","Cathemeral",0.00343912958600213
"Alces alces","Cathemeral",0.0536728821774646
"Alces alces","Cathemeral",0.0865556959254956
"Alces alces","Cathemeral",0.853297808251954
"Alces alces","Cathemeral",0.029153588704405
"Alces alces","Cathemeral",0.812062200349196
"Alces alces","Cathemeral",0.620257865599942
"Alces alces","Cathemeral",0.0147274077044806
"Alces alces","Cathemeral",0.131670723313126
"Alces alces","Cathemeral",0.00779720099674185
"Alces alces","Cathemeral",0.0740826467605839
"Alces alces","Cathemeral",0.0734829835299585
"Alces alces","Cathemeral",0.0169076627108698
"Alces alces","Cathemeral",0.0653224550924338
"Alces alces","Cathemeral",0.0397573348762144
"Alces alces","Cathemeral",0.294338655714199
"Alces alces","Cathemeral",0.198614085633535
"Alces alces","Cathemeral",0.235124099104498
"Alces alces","Cathemeral",0.0633994536009138
"Alces alces","Cathemeral",0.00169621623464303
"Alces alces","Cathemeral",0.0178556268394023
"Alces alces","Cathemeral",0.116951091807472
"Alces alces","Cathemeral",0.587067637251492
"Alces alces","Cathemeral",0.163962054648384
"Alces alces","Cathemeral",0.440058774957007
"Alces alces","Cathemeral",0.864680065342054
"Alces alces","Cathemeral",0.000283190773125944
"Alces alces","Cathemeral",0.01927654741774
"Alces alces","Cathemeral",0.0288405958935711
"Alces alces","Cathemeral",0.0587461231544963
"Alces alces","Cathemeral",0.0275912201036888
"Alces alces","Cathemeral",0.0504426075511384
"Alces alces","Cathemeral",0.491057967845071
"Alces alces","Cathemeral",0.000918628689937459
"Alces alces","Cathemeral",0.128273639036007
"Alces alces","Cathemeral",0.0145379026743169
"Alces alces","Cathemeral",0.0192081607870049
"Alces alces","Cathemeral",0.0227894199347708
"Alces alces","Cathemeral",0.15274979252634
"Alces alces","Cathemeral",0.411087408196107
"Alces alces","Cathemeral",0.14335614831697
"Alces alces","Cathemeral",0.0277412939201886
"Alces alces","Cathemeral",0.00605324257343286
"Alces alces","Cathemeral",0.0403435104801513
"Alces alces","Cathemeral",0.94086053888767
"Alces alces","Cathemeral",0.0544169493004231
"Alces alces","Cathemeral",0.121102958067947
"Alces alces","Cathemeral",0.162014864934958
"Alces alces","Cathemeral",0.344836409682238
"Alces alces","Cathemeral",0.0380177838366717
"Alces alces","Cathemeral",0.490650799291822
"Alces alces","Cathemeral",0.207592824131707
"Alces alces","Cathemeral",0.00571752162840965
"Alces alces","Cathemeral",0.0242342448582903
"Alces alces","Cathemeral",0.48061471081097
"Alces alces","Cathemeral",0.0152259581832792
"Alces alces","Cathemeral",0.0206944604128278
"Alces alces","Cathemeral",0.768507311533972
"Alces alces","Cathemeral",0.895831133652484
"Alces alces","Cathemeral",0.33145214086504
"Alces alces","Cathemeral",0.00262981889750238
"Alces alces","Cathemeral",0.10945269740167
"Alces alces","Cathemeral",0.880605861156618
"Alces alces","Cathemeral",0.0359178707609384
"Alces alces","Cathemeral",0.801237654131469
"Alces alces","Cathemeral",0.496737367270701
"Alces alces","Cathemeral",0.00747819082657631
"Alces alces","Cathemeral",0.0325967355552432
"Alces alces","Cathemeral",0.0637202223199539
"Alces alces","Cathemeral",0.449941011758256
"Allochrocebus lhoesti","Diurnal",1
"Allochrocebus lhoesti","Diurnal",0.999949274397445
"Allochrocebus lhoesti","Diurnal",1
"Ammospermophilus harrisii","Diurnal",0.997262804973481
"Ammospermophilus harrisii","Diurnal",0.947775275694528
"Ammospermophilus harrisii","Diurnal",1
"Ammospermophilus harrisii","Diurnal",0.971665457202564
"Ammospermophilus harrisii","Diurnal",0.994401099660539
"Ammospermophilus harrisii","Diurnal",0.998699783628808
"Ammospermophilus harrisii","Diurnal",0.994500788789554
