"species","hyp.ref","prob"
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0.00179110612389613
"Acinonyx jubatus","Nocturnal",0.000705491496503568
"Acinonyx jubatus","Nocturnal",0.0737591783310979
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0.00302319365639777
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0.0168892777383687
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0.0178292915014846
"Acinonyx jubatus","Nocturnal",0.00135595569352996
"Acinonyx jubatus","Nocturnal",0.000756595226312383
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0.371457634531937
"Acinonyx jubatus","Nocturnal",0
"Acinonyx jubatus","Nocturnal",0.00145944349455578
"Aepyceros melampus","Cathemeral",0.00290900034913152
"Aepyceros melampus","Cathemeral",0.0150391035335577
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",0.000942188441997247
"Aepyceros melampus","Cathemeral",0.00685493605976656
"Aepyceros melampus","Cathemeral",0.00129785690778528
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",0.269782474143454
"Aepyceros melampus","Cathemeral",0.772237307801857
"Aepyceros melampus","Cathemeral",0.188058579202777
"Aepyceros melampus","Cathemeral",0.0136941934888684
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.204687798244938
"Aepyceros melampus","Cathemeral",0.0166832353048995
"Aepyceros melampus","Cathemeral",0.200949071711723
"Aepyceros melampus","Cathemeral",0.00425760832414264
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.398011841737962
"Aepyceros melampus","Cathemeral",2.64131233125833e-05
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.013130587476858
"Aepyceros melampus","Cathemeral",0.561917932372286
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",1.53603051776892e-06
"Aepyceros melampus","Cathemeral",0.905498240658736
"Aepyceros melampus","Cathemeral",0.995503039053554
"Aepyceros melampus","Cathemeral",0.664448447580209
"Aepyceros melampus","Cathemeral",0.772177075501385
"Aepyceros melampus","Cathemeral",0.00400318106928221
"Aepyceros melampus","Cathemeral",0.999279866528893
"Aepyceros melampus","Cathemeral",0.120148836515807
"Aepyceros melampus","Cathemeral",0.0471731977395652
"Aepyceros melampus","Cathemeral",0.74719487388362
"Aepyceros melampus","Cathemeral",0.00121972968155102
"Aepyceros melampus","Cathemeral",0.996310241616416
"Aepyceros melampus","Cathemeral",0.0839193089903735
"Aepyceros melampus","Cathemeral",0.0175026317879453
"Aepyceros melampus","Cathemeral",0.999306093239156
"Aepyceros melampus","Cathemeral",0.989831200180776
"Aepyceros melampus","Cathemeral",0.372197629150972
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.994823216454966
"Aepyceros melampus","Cathemeral",0.911438586495536
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.82770845093499
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.339200428455463
"Aepyceros melampus","Cathemeral",0.00305867980410076
"Aepyceros melampus","Cathemeral",0.0456387479240767
"Aepyceros melampus","Cathemeral",0.0408683306656046
"Aepyceros melampus","Cathemeral",0.0158824596109907
"Aepyceros melampus","Cathemeral",0.0160799765899104
"Aepyceros melampus","Cathemeral",0.189936335419007
"Aepyceros melampus","Cathemeral",0.989447147891775
"Aepyceros melampus","Cathemeral",0.214432849156265
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.768649842806894
"Aepyceros melampus","Cathemeral",0.0285389591691179
"Aepyceros melampus","Cathemeral",0.01375627532549
"Aepyceros melampus","Cathemeral",0.0291555330178067
"Aepyceros melampus","Cathemeral",0.247415462392552
"Aepyceros melampus","Cathemeral",0.141354733055185
"Aepyceros melampus","Cathemeral",0.175390387204411
"Aepyceros melampus","Cathemeral",0.646436120098156
"Aepyceros melampus","Cathemeral",0.0384149043761815
"Aepyceros melampus","Cathemeral",0.7434162311695
"Aepyceros melampus","Cathemeral",0.00127870286741335
"Aepyceros melampus","Cathemeral",0.902831417942973
"Aepyceros melampus","Cathemeral",0.0473568636551648
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",3.43517405726084e-05
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.000144021992836526
"Aepyceros melampus","Cathemeral",0.565762647631916
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.00596374492188698
"Aepyceros melampus","Cathemeral",0.871877613727899
"Aepyceros melampus","Cathemeral",0.983205131011971
"Aepyceros melampus","Cathemeral",0.0250057128044994
"Aepyceros melampus","Cathemeral",0.972443362664688
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.629377853488066
"Aepyceros melampus","Cathemeral",0.0634332697375181
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",9.0014791166784e-06
"Aepyceros melampus","Cathemeral",0.447671798247528
"Aepyceros melampus","Cathemeral",0.866582803365743
"Aepyceros melampus","Cathemeral",0.0165933422804752
"Aepyceros melampus","Cathemeral",0.00310287242732477
"Aepyceros melampus","Cathemeral",0.00586218060429851
"Aepyceros melampus","Cathemeral",0.973975767508831
"Aepyceros melampus","Cathemeral",0.252427600775831
"Aepyceros melampus","Cathemeral",0.651381414842766
"Aepyceros melampus","Cathemeral",0.00183481577366951
"Aepyceros melampus","Cathemeral",0.00737274713162395
"Aepyceros melampus","Cathemeral",0.211602205060679
"Aepyceros melampus","Cathemeral",0.999260950978211
"Aepyceros melampus","Cathemeral",0.0423245741560462
"Aepyceros melampus","Cathemeral",0.0343765516590644
"Aepyceros melampus","Cathemeral",0.984042864004616
"Aepyceros melampus","Cathemeral",0.00150833575674428
"Aepyceros melampus","Cathemeral",0.00680703821007104
"Aepyceros melampus","Cathemeral",0.999265540993814
"Aepyceros melampus","Cathemeral",0.00119056654253437
"Aepyceros melampus","Cathemeral",0.00243921377686077
"Aepyceros melampus","Cathemeral",0.917085423013046
"Aepyceros melampus","Cathemeral",0.0304268021739327
"Aepyceros melampus","Cathemeral",0.895858443597621
"Aepyceros melampus","Cathemeral",0.991749251447332
"Aepyceros melampus","Cathemeral",0.362417983471825
"Aepyceros melampus","Cathemeral",0.29415378803143
"Aepyceros melampus","Cathemeral",0.00603781516015333
"Aepyceros melampus","Cathemeral",0.927828829980908
"Aepyceros melampus","Cathemeral",5.29435392508507e-05
"Aepyceros melampus","Cathemeral",0.0292718986197826
"Aepyceros melampus","Cathemeral",0.0469914931288882
"Aepyceros melampus","Cathemeral",0.00882345649016048
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.935200106315379
"Aepyceros melampus","Cathemeral",0.97364528516187
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.453642056968175
"Aepyceros melampus","Cathemeral",0.00309278577775303
"Aepyceros melampus","Cathemeral",0.0718379163737433
"Aepyceros melampus","Cathemeral",0.00745878495148638
"Aepyceros melampus","Cathemeral",0.00283654005954158
"Aepyceros melampus","Cathemeral",0
"Aepyceros melampus","Cathemeral",1
"Aepyceros melampus","Cathemeral",0.00049567410740832
"Aepyceros melampus","Cathemeral",0.00025171175620806
"Aepyceros melampus","Cathemeral",0.0486638952905073
"Alcelaphus buselaphus","Diurnal",0.307551106639351
"Alcelaphus buselaphus","Diurnal",0.00640477653136968
"Alcelaphus buselaphus","Diurnal",0.0270899539406249
"Alcelaphus buselaphus","Diurnal",0.854836697543278
"Alcelaphus buselaphus","Diurnal",0.77033639123413
"Alcelaphus buselaphus","Diurnal",0.991344696085323
"Alcelaphus buselaphus","Diurnal",0.765323119394652
"Alcelaphus buselaphus","Diurnal",0.956215776551646
"Alcelaphus buselaphus","Diurnal",0.970692425797709
"Alcelaphus buselaphus","Diurnal",0.0161367182983742
"Alcelaphus buselaphus","Diurnal",0.811595579241125
"Alcelaphus buselaphus","Diurnal",0.947248740534977
"Alcelaphus buselaphus","Diurnal",0.827406858940272
"Alcelaphus buselaphus","Diurnal",0.226546269429581
"Alcelaphus buselaphus","Diurnal",0.19178165527516
"Alcelaphus buselaphus","Diurnal",0.939333287349132
"Alcelaphus buselaphus","Diurnal",0.852600196272954
"Alcelaphus buselaphus","Diurnal",0.935127966572257
"Alcelaphus buselaphus","Diurnal",0.132291669063939
"Alcelaphus buselaphus","Diurnal",0.304412117614231
"Alcelaphus buselaphus","Diurnal",0.95595617473027
"Alcelaphus buselaphus","Diurnal",0.891561340335993
"Alcelaphus buselaphus","Diurnal",0.027662450594589
"Alces alces","Cathemeral",0.972175396375234
"Alces alces","Cathemeral",0.077966456676404
"Alces alces","Cathemeral",0.172008368075552
"Alces alces","Cathemeral",0.26306967972977
"Alces alces","Cathemeral",0.0894234846284363
"Alces alces","Cathemeral",0.999295569576888
"Alces alces","Cathemeral",0.999243490704905
"Alces alces","Cathemeral",0.999232968997952
"Alces alces","Cathemeral",0.978116218376263
"Alces alces","Cathemeral",0.0920242721982764
"Alces alces","Cathemeral",0.85253913889671
"Alces alces","Cathemeral",0.36391046315527
"Alces alces","Cathemeral",0.0738247824086433
"Alces alces","Cathemeral",0.949763051764216
"Alces alces","Cathemeral",0.440957831622214
"Alces alces","Cathemeral",0.688104956956784
"Alces alces","Cathemeral",0.588241507923727
"Alces alces","Cathemeral",0.00998724783503031
"Alces alces","Cathemeral",0.409384407920031
"Alces alces","Cathemeral",0.206293451759059
"Alces alces","Cathemeral",0.982770389761933
"Alces alces","Cathemeral",0.138474869453883
"Alces alces","Cathemeral",0.984515605743567
"Alces alces","Cathemeral",0.922563801919592
"Alces alces","Cathemeral",0.0488699615590753
"Alces alces","Cathemeral",0.952444438466802
"Alces alces","Cathemeral",0.0881744243512109
"Alces alces","Cathemeral",0.323126757913423
"Alces alces","Cathemeral",0.84087103791266
"Alces alces","Cathemeral",0.0529530129245629
"Alces alces","Cathemeral",0.0954462383512294
"Alces alces","Cathemeral",0.117550534287443
"Alces alces","Cathemeral",0.701567166194525
"Alces alces","Cathemeral",0.313906548721628
"Alces alces","Cathemeral",0.340826486669728
"Alces alces","Cathemeral",0.118789782272216
"Alces alces","Cathemeral",0.00585587804954823
"Alces alces","Cathemeral",0.0447865701188954
"Alces alces","Cathemeral",0.836977891011569
"Alces alces","Cathemeral",0.883771980553471
"Alces alces","Cathemeral",0.762147728380078
"Alces alces","Cathemeral",0.894424510500215
"Alces alces","Cathemeral",0.999280411246582
"Alces alces","Cathemeral",0.0216411769514748
"Alces alces","Cathemeral",0.042883893176845
"Alces alces","Cathemeral",0.119421097942803
"Alces alces","Cathemeral",0.102647018961967
"Alces alces","Cathemeral",0.0851168056037843
"Alces alces","Cathemeral",0.905550725407018
"Alces alces","Cathemeral",0.96965459944956
"Alces alces","Cathemeral",0.0219711670292017
"Alces alces","Cathemeral",0.276546350698542
"Alces alces","Cathemeral",0.0357723046181917
"Alces alces","Cathemeral",0.0471071156342894
"Alces alces","Cathemeral",0.187133379686072
"Alces alces","Cathemeral",0.340499254549614
"Alces alces","Cathemeral",0.695081984899646
"Alces alces","Cathemeral",0.228504987656168
"Alces alces","Cathemeral",0.526257112087806
"Alces alces","Cathemeral",0.0124619230941478
"Alces alces","Cathemeral",0.122108557951083
"Alces alces","Cathemeral",1
"Alces alces","Cathemeral",0.0822370811775234
"Alces alces","Cathemeral",0.29548231798577
"Alces alces","Cathemeral",0.240916610520006
"Alces alces","Cathemeral",0.542233962950428
"Alces alces","Cathemeral",0.0711719714334762
"Alces alces","Cathemeral",0.964851008159756
"Alces alces","Cathemeral",0.373425256235022
"Alces alces","Cathemeral",0.030155517664364
"Alces alces","Cathemeral",0.0534775757196565
"Alces alces","Cathemeral",0.74424448467958
"Alces alces","Cathemeral",0.0385227381844285
"Alces alces","Cathemeral",0.0462350979647867
"Alces alces","Cathemeral",0.983742306465892
"Alces alces","Cathemeral",0.996492278490878
"Alces alces","Cathemeral",0.921582485595207
"Alces alces","Cathemeral",0.0234505601084748
"Alces alces","Cathemeral",0.190055600812058
"Alces alces","Cathemeral",0.999242585020972
"Alces alces","Cathemeral",0.978257765599256
"Alces alces","Cathemeral",0.999279365429085
"Alces alces","Cathemeral",0.906053541632502
"Alces alces","Cathemeral",0.019876688855114
"Alces alces","Cathemeral",0.975079681016882
"Alces alces","Cathemeral",0.911603585000567
"Alces alces","Cathemeral",0.975790521961168
"Allochrocebus lhoesti","Diurnal",1
"Allochrocebus lhoesti","Diurnal",0.999994186775079
"Allochrocebus lhoesti","Diurnal",1
"Ammospermophilus harrisii","Diurnal",0.999622680889865
"Ammospermophilus harrisii","Diurnal",0.991046382088294
"Ammospermophilus harrisii","Diurnal",1
"Ammospermophilus harrisii","Diurnal",0.994690100609745
"Ammospermophilus harrisii","Diurnal",0.99912701216199
"Ammospermophilus harrisii","Diurnal",0.999840086893426
"Ammospermophilus harrisii","Diurnal",0.999216873460291
"Ammospermophilus harrisii","Diurnal",0.99999850514557
"Ammospermophilus harrisii","Diurnal",0.988254872121621
"Ammospermophilus harrisii","Diurnal",0.999998531505716
"Ammospermophilus harrisii","Diurnal",0.986772748597643
"Ammospermophilus harrisii","Diurnal",1
