"Binomial.1.2","Order.1.2","Family.1.2","Genus.1.2","Species.1.2","Terrestrial","Marine","Freshwater","Aerial","Life.Habit.Method","Life.Habit.Source","Mass.g","Mass.Method","Mass.Source","Mass.Comparison","Mass.Comparison.Source","Island.Endemicity","IUCN.Status.1.2","Added.IUCN.Status.1.2","Diet.Plant","Diet.Vertebrate","Diet.Invertebrate","Diet.Method","Diet.Source","scientificName"
"Abditomys_latidens","Rodentia","Muridae","Abditomys","latidens",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",269,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs only on isolated islands","DD","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Abditomys latidens"
"Abeomelomys_sevia","Rodentia","Muridae","Abeomelomys","sevia",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",52,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on large land bridge islands","LC","No",78,3,19,"Imputed 000 Species","PHYLACINE 1.2.1","Abeomelomys sevia"
"Abrawayaomys_ruschii","Rodentia","Cricetidae","Abrawayaomys","ruschii",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",63,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",88,1,11,"Imputed 000 Species","PHYLACINE 1.2.1","Abrawayaomys ruschii"
"Abrocoma_bennettii","Rodentia","Abrocomidae","Abrocoma","bennettii",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",250,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Abrocoma bennettii"
"Abrocoma_boliviensis","Rodentia","Abrocomidae","Abrocoma","boliviensis",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",158,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","CR","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Abrocoma boliviensis"
"Abrocoma_budini","Rodentia","Abrocomidae","Abrocoma","budini",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",360.7,"Assumed isometric based on head-body length","Journal of Mammalogy 83: 1-19 (2002)","Abrocoma_cinerea","Journal of Mammalogy 83: 1-19 (2002)","Occurs on mainland","DD","No",100,0,0,"Transformed 000 Genus","Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.","Abrocoma budini"
"Abrocoma_cinerea","Rodentia","Abrocomidae","Abrocoma","cinerea",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",250,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Abrocoma cinerea"
"Abrocoma_famatina","Rodentia","Abrocomidae","Abrocoma","famatina",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",233.4,"Assumed isometric based on head-body length","Journal of Mammalogy 83: 1-19 (2002)","Abrocoma_cinerea","Journal of Mammalogy 83: 1-19 (2002)","Occurs on mainland","DD","No",100,0,0,"Transformed 000 Genus","Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.","Abrocoma famatina"
"Abrocoma_shistacea","Rodentia","Abrocomidae","Abrocoma","shistacea",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",276.3,"Assumed isometric based on head-body length","Journal of Mammalogy 83: 1-19 (2002)","Abrocoma_cinerea","Journal of Mammalogy 83: 1-19 (2002)","Occurs on mainland","LC","No",100,0,0,"Transformed 000 Species","Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.","Abrocoma shistacea"
"Abrocoma_uspallata","Rodentia","Abrocomidae","Abrocoma","uspallata",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",245.8,"Assumed isometric based on head-body length","Journal of Mammalogy 83: 1-19 (2002)","Abrocoma_cinerea","Journal of Mammalogy 83: 1-19 (2002)","Occurs on mainland","DD","No",100,0,0,"Transformed 000 Species","Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.","Abrocoma uspallata"
