"","Species","Literature","Mean.probs"
"362","Aepyceros melampus","Cathemeral",0.254
"363","Alces alces","Cathemeral",0.5671
"364","Antechinus swainsonii","Cathemeral",0.9403
"365","Antidorcas marsupialis","Cathemeral",0.4189
"366","Antilocapra americana","Cathemeral",0.3436
"367","Arctictis binturong","Cathemeral",0.6634
"368","Arctonyx collaris","Cathemeral",0.6936
"369","Bison bison","Cathemeral",0.1663
"370","Bos gaurus","Cathemeral",0.5873
"371","Bos javanicus","Cathemeral",0.4768
"372","Canis latrans","Cathemeral",1
"373","Capreolus capreolus","Cathemeral",0.5705
"374","Cervus canadensis","Cathemeral",0.625
"375","Cervus elaphus","Cathemeral",0.9998
"376","Connochaetes taurinus","Cathemeral",0.6724
"377","Cryptoprocta ferox","Cathemeral",0.912
"378","Cuon alpinus","Cathemeral",0.2902
"379","Dama dama","Cathemeral",0.7476
"380","Diceros bicornis","Cathemeral",0.8983
"381","Elephas maximus","Cathemeral",0.6699
"382","Equus quagga","Cathemeral",0.9394
"383","Eudorcas thomsonii","Cathemeral",0.2217
"384","Eulemur albifrons","Cathemeral",0.2114
"385","Eulemur cinereiceps","Cathemeral",0.2088
"386","Eulemur fulvus","Cathemeral",0.2642
"387","Eupleres goudotii","Cathemeral",0.6588
"388","Hemicentetes semispinosus","Cathemeral",0.1844
"389","Hippopotamus amphibius","Cathemeral",0.0408
"390","Hippotragus niger","Cathemeral",0.6173
"391","Kobus kob","Cathemeral",0.338
"392","Loxodonta africana","Cathemeral",0.99
"393","Lycalopex gymnocercus","Cathemeral",0.9997
"394","Lynx lynx","Cathemeral",0.7605
"395","Madoqua kirkii","Cathemeral",0.1574
"396","Martes pennanti","Cathemeral",0.9821
"397","Martes zibellina","Cathemeral",0.6727
"398","Mazama gouazoubira","Cathemeral",0.2373
"399","Mazama nana","Cathemeral",0.9128
"400","Mazama temama","Cathemeral",0.8696
"401","Muntiacus muntjak","Cathemeral",0.3561
"402","Muntiacus truongsonensis","Cathemeral",0.3085
"403","Mustela kathiah","Cathemeral",0.4251
"404","Ondatra zibethicus","Cathemeral",0.4511
"405","Oryx gazella","Cathemeral",0.9696
"406","Ourebia ourebi","Cathemeral",0.5732
"407","Ozotoceros bezoarticus","Cathemeral",0.0832
"408","Pongo pygmaeus","Cathemeral",0.2624
"409","Prionailurus bengalensis","Cathemeral",0.4988
"410","Rangifer tarandus","Cathemeral",0.4572
"411","Raphicerus campestris","Cathemeral",0.9377
"412","Rattus lutreolus","Cathemeral",0.7525
"413","Redunca arundinum","Cathemeral",0.782
"414","Redunca fulvorufula","Cathemeral",0.7361
"415","Sus scrofa","Cathemeral",0.2913
"416","Syncerus caffer","Cathemeral",0.9802
"417","Tamandua mexicana","Cathemeral",0.6363
"418","Tragelaphus strepsiceros","Cathemeral",0.4376
"419","Tragulus kanchil","Cathemeral",0.0892
"420","Tragulus napu","Cathemeral",1
"421","Ursus thibetanus","Cathemeral",0.4643
"422","Antechinus minimus","Crepuscular",0
"423","Axis axis","Crepuscular",0
"424","Capricornis sumatraensis","Crepuscular",0
"425","Cervus nippon","Crepuscular",0
"426","Dipodomys merriami","Crepuscular",0
"427","Galea spixii","Crepuscular",0
"428","Hydrochoerus hydrochaeris","Crepuscular",0
"429","Kerodon rupestris","Crepuscular",0
"430","Kobus ellipsiprymnus","Crepuscular",0
"431","Kobus vardonii","Crepuscular",0
"432","Leptailurus serval","Crepuscular",0
"433","Lycaon pictus","Crepuscular",0
"434","Mazama chunyi","Crepuscular",0
"435","Moschus moschiferus","Crepuscular",0
"436","Odocoileus hemionus","Crepuscular",0
"437","Odocoileus virginianus","Crepuscular",0
"438","Ovis canadensis","Crepuscular",0
"439","Petrodromus tetradactylus","Crepuscular",0
"440","Sylvilagus audubonii","Crepuscular",0
"441","Sylvilagus bachmani","Crepuscular",0
"442","Sylvilagus floridanus","Crepuscular",0
"443","Sylvilagus nuttallii","Crepuscular",0
"444","Tapirus pinchaque","Crepuscular",0
"445","Tragelaphus derbianus","Crepuscular",0
"1","Alcelaphus buselaphus","Diurnal",0.5309
"2","Allochrocebus lhoesti","Diurnal",0.9983
"3","Ammospermophilus harrisii","Diurnal",1
"4","Ammospermophilus leucurus","Diurnal",0.9922
"5","Atelocynus microtis","Diurnal",0.7583
"6","Callosciurus erythraeus","Diurnal",0.9686
"7","Callosciurus prevostii","Diurnal",0.1918
"8","Callospermophilus lateralis","Diurnal",1
"9","Capra aegagrus","Diurnal",0.8209
"10","Capricornis rubidus","Diurnal",0.0893
"11","Catopuma badia","Diurnal",0.8191
"12","Cavia aperea","Diurnal",0.0012
"13","Cebus albifrons","Diurnal",0.8344
"14","Cebus capucinus","Diurnal",0.868
"15","Cephalophus callipygus","Diurnal",0.9986
"16","Cephalophus dorsalis","Diurnal",0
"17","Cephalophus harveyi","Diurnal",0.9878
"18","Cephalophus leucogaster","Diurnal",0.7386
"19","Cephalophus natalensis","Diurnal",0.941
"20","Cephalophus nigrifrons","Diurnal",0.7132
"21","Cephalophus ogilbyi","Diurnal",0.9905
"22","Cephalophus silvicultor","Diurnal",0
"23","Cephalophus weynsi","Diurnal",0.9263
"24","Ceratotherium simum","Diurnal",0.064
"25","Cercocebus agilis","Diurnal",0.8689
"26","Cercocebus sanjei","Diurnal",0.9952
"27","Cercocebus torquatus","Diurnal",0.8185
"28","Cercopithecus ascanius","Diurnal",0.8498
"29","Cercopithecus cephus","Diurnal",0.7205
